LB's Notes,SITEYRID,SurveyYrID,Year,Site Name,County,Elevation,"Water Body (creek, river canyon or lake name)",SurveyType,UTMZone,Datum,Start_X,Start_Y,Start_Lat,Start_Long,Stop_X,Stop_Y,Stop_Lat,Stop_Long,Declination,Surveyed PreviousYear,PreviousYearName,Affiliation,Permit#,SurveyLength,NumSurveys,TotalHours,Detections,PO,PR,CO,NumNests,Notes
,1,1,2022,Garden Canyon,Cochise,1618,Garden Canyon Creek,,12,WGS84,561999,3482243,,,559299,3480138,,,10,yes,Garden Canyon,Ft Huachuca,TE207369,4.9,4,28.25,3,0,0,0,0,
,2,2,2022,Huachuca Canyon ,Cochise,1576,Huachuca Canyon Creek,,12,WGS84,559453,3489855,,,557660,3486351,,,10,yes,Huachuca Canyon,Ft Huachuca DoD,TE207369-1,3.7,6,31.75,4,1,0,0,0,
,3,3,2022,San Simon/Gila RIvers,Graham,953,San Simon River and Gila River,,12S,NAD83,627034,3630197,,,626374,3633445,,,9,no,NA,AtoZec,TE23162B-1,4.26,4,17,0,0,0,0,0,
,4,4,2022,Lower San Pedro River Wildlife Area,Pinal,718,Lower San Pedro River,,12N,NAD83,528904,3629804,,,526121,3634644,,,NR,yes,Lower San Pedro River Wildlife Area,Arizona Game and Fish Department,TE821577-5,5.7,4,36,9,2,1,0,0,
,5,5,2022,Bridge Cross Connect,Santa Cruz,1260,Harshaw Creek,,12,NAD83,525324,3489664,,,525617,3489274,,,0,yes,Bridge Cros Connect,"WestLand Resources, Inc.",TE834782-8,0.6,4,2.75,4,0,0,0,0,
,6,6,2022,FS 4701 to Guajolote Flat,Santa Cruz,1580,Harshaw Creek,,12,NAD83,525924,3487881,,,525874,3480459,,,0,yes,FS 4701 to Guajolote Flat,"WestLand Resources, Inc.",TE834782-8,2.1,4,10.7,3,1,0,0,0,
,7,7,2022,Harshaw Creek Road,Santa Cruz,1350,Harshaw Creek,,12,NAD83,530569,3485782,,,529960,3486720,,,0,yes,Harshaw Creek Road,"WestLand Resources, Inc.",TE834782-8,1.5,4,5.88,9,3,0,0,0,
,8,8,2022,Harshaw Road/Hermosa Canyon,Santa Cruz,1460,Harshaw Creek,,12,NAD83,527680,3481493,,,528427,6272249,,,0,yes,Harshaw Road/Hermosa Canyon,"WestLand Resources, Inc.",TE834782-8,1.5,3,3.61,4,0,1,0,0,Corrected data sheet to include one probable territory based on 3 detections in given map
,9,9,2022,Harshaw Road,Santa Cruz,1310,Unnamed Tributary to Harshaw Creek,,12,NAD83,527344,3488274,,,528065,3485724,,,0,yes,Harshaw Road,"WestLand Resources, Inc.",TE834782-8,3.2,4,10.09,15,3,1,0,0,
,10,10,2022,Harshaw to FS4701,Santa Cruz,1540,Harshaw Creek,,12,NAD83,527683,3481414,,,525317,3480706,,,0,yes,Harshaw to FS 4701,"WestLand Resources, Inc.",TE834782-8,3.6,4,11.07,1,0,0,0,0,
,11,11,2022,Transect 1,Gila,1250,NR,,12S,NAD83,501234,3697706,,,499625,3698579,,,NR,yes,Pinto Creek at Gold Gulch,"WestLand Resources, Inc.",TE834782-8,5,3,22,0,0,0,0,0,
