SITEYRID,SurveyVisitID,SurveyPeriod,SurveyDate,StartTime,StopTime,TotalHours,YBCUNum,TimeDetected,DetectionMethod,DetectionType,VocalType,NumCallsResponse,BehObs,Detection_X,Detection_Y,Detection_Lat,Detection_Long,Distance,Bearing,Corrected_X,Corrected_Y,Comments
1,1,1,6/30/2022,6:15,10:09,7,1,8:56 AM,P,V,CN,4,,561143,3481598,,,10,280,561134,341589,
1,2,2,7/13/2022,6:12,9:42,6.5,1,7:34 AM,P,B,"CO, CN",1,FLC,561261,3482012,,,65,345,561255,3482077,
1,3,2,7/13/2022,6:12,9:42,6.5,2,9:19 AM,P,B,CN,4,FLC,560695,3481473,,,5,314,560692,3481477,
1,4,3,7/25/2022,7:04,10:57,7.5,,,,,,,,,,,,,,,,
1,5,4,8/9/2022,6:13,10:37,7.25,,,,,,,,,,,,,,,,
2,6,1,6/24/2022,6:14,9:36,6.25,,,,,,,,,,,,,,,,
2,7,2,7/7/2022,6:23,9:31,6,1,8:33 AM,P,B,CN,4,FLC,557982,3486767,,,11,130,557989,3486759,
2,8,2,7/7/2022,6:23,9:31,6,2,9:17 AM,P,V,CN,4,FLC,557760,3486474,,,14,160,557762,3486461,
2,9,3,7/22/2022,6:15,10:01,6.75,1,9:57 AM,I,A,CN,NA,NV,557815,3486576,,,50,215,557780,3486541,
2,10,4,8/5/2022,6:11,9:43,6.5,1,8:37 AM,P,A,CN,4,NV,557983,3486845,,,40,335,557973,3486884,
2,11,5,8/24/2022,6:32,10:03,6.25,,,,,,,,,,,,,,,,
2,12,6,9/7/2022,6:33,9:53,6.25,,,,,,,,,,,,,,,,
3,13,1,6/17/2022,5:30,10:20,5,,,,,,,,,,,,,,,,
3,14,2,7/2/2022,5:14,9:20,4,,,,,,,,,,,,,,,,
3,15,3,7/16/2022,5:40,9:34,4,,,,,,,,,,,,,,,,
3,16,4,7/28/2022,5:31,9:26,4,,,,,,,,,,,,,,,,
4,17,1,6/16/2022,5:30,8:30,9,1,7:45 AM,P,A,CN,2,FLC,528052,3631853,,,10,250,528043,3631850,
4,18,2,7/1/2022,6:00,9:30,10.5,1,6:33 AM,P,A,CO,2,FLC,529068,3630036,,,20,268,529048,3630035,
4,19,2,7/1/2022,6:00,9:30,10.5,2,6:39 AM,P,A,CN,5,FLC,528109,3631492,,,30,255,528080,3631484,
4,20,2,7/1/2022,6:00,9:30,10.5,3,9:42 AM,P,A,CN,3,FLC,528052,3631142,,,50,206,528030,3631097,
4,21,3,7/13/2022,7:00,10:00,9,1,8:55 AM,P,A,CN,2,FLC,527914,3631965,,,25,125,527934,3631951,
4,22,3,7/13/2022,7:00,10:00,9,2,9:40 AM,P,A,CN,2,FLC,528042,3631046,,,25,289,528018,3631054,
4,23,4,8/2/2022,6:45,9:15,7.5,1,6:49 AM,P,A,"CN, CO",1,FLC,529380,3629873,,,40,165,529390,3629834,
4,24,4,8/2/2022,6:45,9:15,7.5,2,7:22 AM,P,A,"CN, CO",2,FLC,529008,3630334,,,50,185,529004,3630284,
4,25,4,8/2/2022,6:45,9:15,7.5,3,7:24 AM,P,"A, V","CN, CO",5,FLC,528170,3631466,,,10,24,528174,3631475,
5,26,1,7/1/2022,7:17,7:45,0.5,1,7:29 AM,P,"A, V",OT,4,NV,525569,3489373.39,,,100,284,525472,3489398,
