ID,SuveyID_DoNotUse,Proofed_MC,Year,County,WaterbodyName,SiteName,Affiliation,SurveyType,Missing data,Corrections,surveyArea_ha,Survey Length (KM),# Survey Hours,# Surveys,0_Territories_FullProtocol,PO Territories,PR Territories,CO Territories,Breed_evidence,NumNests,Field21,NumDetected,Zone,StartX_UTME,StartY_UTMN,Start_Lat,Start_Long,StopX,StopY,StopLat,StopLong,Contact Info,VegType,Survey File Name,Incomplete or Complete Record,Comments,Field35,Legend,Comments between Susan and Maya,Nest1_X,Nest1_Y,Field40,Field41,Field42,Field43
1,1,,1993,Gila,Pinto Creek,Lower Pinto Creek,Josh Taiz,Survey (prior to protocol survey methods were developed),"coordinates, territories, contact info, vegetation characteristics",,,,,,,,,,,,,3,,,,,,,,,,,,,Incomplete,Excerpt from report describing 3 YBCU sitings along Pinto Creek,,Needs to be uploaded to Excel 2019 Form,,,,,,,
2,2,,2000,Greenlee,Eagle Creek,Eagle Creek South of Double Circle Ranch,Darrin Thorme,Partial Protocol,"Coordinates, territories, contact info, vegetation characteristics",,,,,,0,,,,,,,1,,,,,,,,,,,,,Incomplete," (1 detection) 8/2/2000, Darrin Thorne played broadcast call in Eagle Creek Drainage, heard knocker call",,Additional question regarding form data,"Maya, can you convert the lat long in the site name link to UTM NAD83 and enter it for location?  You can leave the link as is.",,,,,,
3,3,,2003,Santa Cruz,Sycamore Canyon,Ruby Road,Jim Rorabaugh,Incidental,,,,,,,0,,,,,,,2,12R,,,,,,,,,,,,Incomplete,"2 detections, likely same bird",,Susan needs to get back to this,,,,,,,
4,4,,2005,Yavapai,Little Ash Creek,Section 1,Prescott NF,Protocol,,,,,,,0,,,,,,,4,12S,406788,3804991,34.38211317,-112.0139009,405419,3804886,,,,,,Incomplete,4 YBCUs found,,"Data from another state and beyond AZ border area.  If on or near border but in another state, it should not be color coded.",,,,,,,
5,5,,2005,Yavapai,Verde River,White Bridge,Prescott NF,Protocol,,,,,,,0,,,,,,,4,12S,421940,3823275,34.54823887,-111.8507758,422011,3823404,,,,,,Incomplete,4 YBCUs found,,Data have been transferred to updated Excel 2019 form,,,,,,,
6,6,,2010,Pima,Cienega Creek,LCNCA,Bureau of Land Management,Protocol,,MC - coords,,,,,0,,,,,,,7,12R,538850,3519335,31.80896898,-110.5895448,538984,3517861,,,,,,Incomplete,7 detections,,"Missing territory data. ""Territory data"" refers to #NO/#PO, #NR/#PR, #CO",,,,,,,
7,7,,2010,Pima,Cienega Creek,LCNCA_50 Narrows_S,Bureau of Land Management,Incidental (WIFL Survey),,Corrected LNAC 59 to LNAC 50,,,,,0,,,,,,,1?,12R,541951,3527480,31.88234137,-110.5564317,541485,3527071,,,,,,Incomplete,"WIFL Survey form mentions YBCU as one of species seen on 6/18/2010, between 8:17-9:24.",,Fields in common with AGFD,,,,,,,
8,8,,2010,Pima,Cienega Creek,LCNCA - Reach 59L,Bureau of Land Management,Incidental (WIFL Survey),,,,,,,0,,,,,,,0,12R,538851,3519336,31.80897796,-110.5895342,538943,3517204,,,,,,Incomplete,YBCU sited once during WIFL Survey. Seen on 6/18/10,,Maya-read my inserted comment and delete once read/resolved,,,,,,,
9,9,,2011,Pima,Cienega Creek,LCNCA - Reach 59L,Bureau of Land Management,Incidental (WIFL Survey),,,,,,,0,,,,,,,2,12R,538759,3515887,31.77786464,-110.5906434,538669,3519655,,,,1,,Incomplete,YBCU sited once during WIFL Survey. Seen on 6/3/11,,,,,,,,,
10,10,,2011,Pima,Cienega Creek,LCNCA - Mattle N (Team 5 wet/dry),Bureau of Land Management,Incidental (WIFL Survey),,,,,,,0,,,,,,,1,12R,539922,3524010,31.85110892,-110.5780274,540472,3525473,,,,1,,Incomplete,YBCU sited once during WIFL Survey. Seen on 7/14/11.,,,,,,,,,
11,11,,2014,Riverside,Lower Colorado River,PVER Phase 1,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,0,,,,,,,1,,,,,,,,,,,,,Incomplete,1 detection (no territories),,,Susan needs to check ,,,,,,
12,12,,2014,Riverside,Lower Colorado River,PVER Phase 2,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,1,,,,,,7,,,,,,,,,,,,,Incomplete,,,,,,,,,,
13,13,,2014,Riverside,Lower Colorado River,PVER Phase 3,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,1,,,,,,3,,,,,,,,,,,,,Incomplete,,,,,,,,,,
14,14,,2014,Riverside,Lower Colorado River,PVER Phase 4,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,2,,4,,,,23,,,,,,,,,,,,,Incomplete,,,,,,,,,,
15,15,,2014,Riverside,Lower Colorado River,PVER Phase 5,Southern Sierra Research Station,Protocol,"Survey forms, GPS points, detection info, vegetation form",,,,,,,6,6,10,,,,78,,,,,,,,,,,,,Incomplete,,,,,,,,,,
